"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","37","zero_copy","Single_cells",1.09000717968801
"1_copy_ctrl","DGY500","glutamine-limited","D03","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","37","one_copy","Single_cells",95.2940408589518
"1_copy_ctrl","DGY500","glutamine-limited","D03","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","37","two_copy","Single_cells",2.44109392337315
"1_copy_ctrl","DGY500","glutamine-limited","D03","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","37","multi_copy","Single_cells",0.0054391575832735
"Experimental","DGY2150","glutamine-limited","A10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","37","zero_copy","Single_cells",0.611752360965372
"Experimental","DGY2150","glutamine-limited","A10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","37","one_copy","Single_cells",16.5834207764953
"Experimental","DGY2150","glutamine-limited","A10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","37","two_copy","Single_cells",77.4596012591815
"Experimental","DGY2150","glutamine-limited","A10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","37","multi_copy","Single_cells",0.203567681007345
"Experimental","DGY2071","glutamine-limited","A04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",0.452044025157233
"Experimental","DGY2071","glutamine-limited","A04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","37","one_copy","Single_cells",12.4503475670308
"Experimental","DGY2071","glutamine-limited","A04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","37","two_copy","Single_cells",83.0478318437603
"Experimental","DGY2071","glutamine-limited","A04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.096201588877855
"Experimental","DGY2071","glutamine-limited","A06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",1.62191015849552
"Experimental","DGY2071","glutamine-limited","A06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","37","one_copy","Single_cells",2.38153896690482
"Experimental","DGY2071","glutamine-limited","A06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","37","two_copy","Single_cells",94.2114231748378
"Experimental","DGY2071","glutamine-limited","A06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.30077194711341
"Experimental","DGY2071","glutamine-limited","A08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",1.0282460416624
"Experimental","DGY2071","glutamine-limited","A08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","37","one_copy","Single_cells",74.203723807378
"Experimental","DGY2071","glutamine-limited","A08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","37","two_copy","Single_cells",20.2126134245509
"Experimental","DGY2071","glutamine-limited","A08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.0020482988877737
"Experimental","DGY2071","glutamine-limited","B05","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",1.1882912869008
"Experimental","DGY2071","glutamine-limited","B05","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","37","one_copy","Single_cells",25.9692454454018
"Experimental","DGY2071","glutamine-limited","B05","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","37","two_copy","Single_cells",67.0129923994981
"Experimental","DGY2071","glutamine-limited","B05","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.137908151097562
"Experimental","DGY2071","glutamine-limited","B07","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",0.820983933656184
"Experimental","DGY2071","glutamine-limited","B07","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","37","one_copy","Single_cells",10.9772826471016
"Experimental","DGY2071","glutamine-limited","B07","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","37","two_copy","Single_cells",83.6042233907676
"Experimental","DGY2071","glutamine-limited","B07","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.0571571093051774
"Experimental","DGY2076","glutamine-limited","B09","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B9 gap1_ltr_6.fcs","gap1_ltr_6","GAP1 LTR KO","37","zero_copy","Single_cells",0.345022915701117
"Experimental","DGY2076","glutamine-limited","B09","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B9 gap1_ltr_6.fcs","gap1_ltr_6","GAP1 LTR KO","37","one_copy","Single_cells",96.2315258252227
"Experimental","DGY2076","glutamine-limited","B09","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B9 gap1_ltr_6.fcs","gap1_ltr_6","GAP1 LTR KO","37","two_copy","Single_cells",2.98573561975385
"Experimental","DGY2076","glutamine-limited","B09","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-B9 gap1_ltr_6.fcs","gap1_ltr_6","GAP1 LTR KO","37","multi_copy","Single_cells",0.0782738555023431
"Experimental","DGY2071","glutamine-limited","C10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C10 gap1_all_8.fcs","gap1_all_8","GAP1 LTR + ARS KO","37","zero_copy","Single_cells",0.552670545788233
"Experimental","DGY2071","glutamine-limited","C10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C10 gap1_all_8.fcs","gap1_all_8","GAP1 LTR + ARS KO","37","one_copy","Single_cells",80.539740140566
"Experimental","DGY2071","glutamine-limited","C10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C10 gap1_all_8.fcs","gap1_all_8","GAP1 LTR + ARS KO","37","two_copy","Single_cells",15.8908423533338
"Experimental","DGY2071","glutamine-limited","C10","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C10 gap1_all_8.fcs","gap1_all_8","GAP1 LTR + ARS KO","37","multi_copy","Single_cells",0.193956078333229
"Experimental","DGY2076","glutamine-limited","C04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C4 gap1_ltr_1.fcs","gap1_ltr_1","GAP1 LTR KO","37","zero_copy","Single_cells",1.38994135049567
"Experimental","DGY2076","glutamine-limited","C04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C4 gap1_ltr_1.fcs","gap1_ltr_1","GAP1 LTR KO","37","one_copy","Single_cells",94.6862511029221
"Experimental","DGY2076","glutamine-limited","C04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C4 gap1_ltr_1.fcs","gap1_ltr_1","GAP1 LTR KO","37","two_copy","Single_cells",3.31862770540302
"Experimental","DGY2076","glutamine-limited","C04","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C4 gap1_ltr_1.fcs","gap1_ltr_1","GAP1 LTR KO","37","multi_copy","Single_cells",0.0882337675818757
"Experimental","DGY2076","glutamine-limited","C06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C6 gap1_ltr_3.fcs","gap1_ltr_3","GAP1 LTR KO","37","zero_copy","Single_cells",0.385408079142622
"Experimental","DGY2076","glutamine-limited","C06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C6 gap1_ltr_3.fcs","gap1_ltr_3","GAP1 LTR KO","37","one_copy","Single_cells",97.4422918384171
"Experimental","DGY2076","glutamine-limited","C06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C6 gap1_ltr_3.fcs","gap1_ltr_3","GAP1 LTR KO","37","two_copy","Single_cells",1.78380049464139
"Experimental","DGY2076","glutamine-limited","C06","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C6 gap1_ltr_3.fcs","gap1_ltr_3","GAP1 LTR KO","37","multi_copy","Single_cells",0.0267930750206101
"Experimental","DGY2076","glutamine-limited","C08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C8 gap1_ltr_5.fcs","gap1_ltr_5","GAP1 LTR KO","37","zero_copy","Single_cells",0.214296806252912
"Experimental","DGY2076","glutamine-limited","C08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C8 gap1_ltr_5.fcs","gap1_ltr_5","GAP1 LTR KO","37","one_copy","Single_cells",7.8368445571717
"Experimental","DGY2076","glutamine-limited","C08","4_EE_GAP1_ArchMuts_2021_062521_g37_IS-Plate_001-Experimental-C8 gap1_ltr_5.fcs","gap1_ltr_5","GAP1 LTR KO","37","two_copy","Single_cells",87.8119985506496
