Type,Strain,Media,Outflow Well,name,sample,Description,generation,Population,Parent,Frequency
1_copy_ctrl,DGY500,glutamine-limited,D03,Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs,ctrl1,1 copy control,8,zero_copy,Single_cells,0.280609086782487
1_copy_ctrl,DGY500,glutamine-limited,D03,Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs,ctrl1,1 copy control,8,one_copy,Single_cells,95.0645813560021
1_copy_ctrl,DGY500,glutamine-limited,D03,Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs,ctrl1,1 copy control,8,two_copy,Single_cells,3.07122518879214
1_copy_ctrl,DGY500,glutamine-limited,D03,Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs,ctrl1,1 copy control,8,multi_copy,Single_cells,0.00103165105434738
Experimental,DGY2150,glutamine-limited,A10,Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs,gap1_ars_7,GAP1 ARS KO,8,zero_copy,Single_cells,0.541391054108051
Experimental,DGY2150,glutamine-limited,A10,Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs,gap1_ars_7,GAP1 ARS KO,8,one_copy,Single_cells,5.56504456383342
Experimental,DGY2150,glutamine-limited,A10,Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs,gap1_ars_7,GAP1 ARS KO,8,two_copy,Single_cells,91.5551276875459
Experimental,DGY2150,glutamine-limited,A10,Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs,gap1_ars_7,GAP1 ARS KO,8,multi_copy,Single_cells,0.0217384553274743
Experimental,DGY2071,glutamine-limited,A04,Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs,gap1_all_1,GAP1 LTR + ARS KO,8,zero_copy,Single_cells,0.460857873074199
Experimental,DGY2071,glutamine-limited,A04,Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs,gap1_all_1,GAP1 LTR + ARS KO,8,one_copy,Single_cells,4.42793065577304
Experimental,DGY2071,glutamine-limited,A04,Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs,gap1_all_1,GAP1 LTR + ARS KO,8,two_copy,Single_cells,93.3673417019923
