"name","Population","Parent","Frequency"
"Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs","zero_copy","Single_cells",0.264368833237467
"Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs","one_copy","Single_cells",84.5980266359896
"Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs","two_copy","Single_cells",6.35812574664838
"Experiment_042-Plate_001-1 copy control-D3 DGY500.fcs","multi_copy","Single_cells",0.00221229149152692
"Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs","zero_copy","Single_cells",0.504509331190285
"Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs","one_copy","Single_cells",0.611661755513885
"Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs","two_copy","Single_cells",96.695017412269
"Experiment_042-Plate_001-Experimental-A4 gap1_all_1.fcs","multi_copy","Single_cells",0.0770158049825877
"Experiment_042-Plate_001-Experimental-A6 gap1_all_3.fcs","zero_copy","Single_cells",0.40213295727475
"Experiment_042-Plate_001-Experimental-A6 gap1_all_3.fcs","one_copy","Single_cells",0.56739307670273
"Experiment_042-Plate_001-Experimental-A6 gap1_all_3.fcs","two_copy","Single_cells",97.5188947403213
"Experiment_042-Plate_001-Experimental-A6 gap1_all_3.fcs","multi_copy","Single_cells",0.0275433532379966
"Experiment_042-Plate_001-Experimental-A8 gap1_all_5.fcs","zero_copy","Single_cells",1.09741739665806
"Experiment_042-Plate_001-Experimental-A8 gap1_all_5.fcs","one_copy","Single_cells",10.3790194532355
"Experiment_042-Plate_001-Experimental-A8 gap1_all_5.fcs","two_copy","Single_cells",72.3409770903317
"Experiment_042-Plate_001-Experimental-A8 gap1_all_5.fcs","multi_copy","Single_cells",0.0507663559477647
"Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs","zero_copy","Single_cells",0.0104676966880208
"Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs","one_copy","Single_cells",14.6715236779299
"Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs","two_copy","Single_cells",59.757986852573
"Experiment_042-Plate_001-Experimental-A10 gap1_ars_7.fcs","multi_copy","Single_cells",0.00314030900640623
"Experiment_042-Plate_001-Experimental-B5 gap1_all_2.fcs","zero_copy","Single_cells",1.29334974286845
"Experiment_042-Plate_001-Experimental-B5 gap1_all_2.fcs","one_copy","Single_cells",2.1845193617863
"Experiment_042-Plate_001-Experimental-B5 gap1_all_2.fcs","two_copy","Single_cells",90.8322711089622
"Experiment_042-Plate_001-Experimental-B5 gap1_all_2.fcs","multi_copy","Single_cells",0.125269218935431
"Experiment_042-Plate_001-Experimental-B7 gap1_all_4.fcs","zero_copy","Single_cells",1.5712682379349
"Experiment_042-Plate_001-Experimental-B7 gap1_all_4.fcs","one_copy","Single_cells",0.285685134169983
